City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-11-08 01:24:14,22.0752,-159.319,84.18,69,20,4.0
1,Busselton,AU,2021-11-08 01:24:04,-33.65,115.3333,65.05,57,5,13.47
2,Saldanha,ZA,2021-11-08 01:29:00,-33.0117,17.9442,60.85,73,88,21.25
3,Kavaratti,IN,2021-11-08 01:29:00,10.5669,72.642,81.34,73,100,7.11
4,Leh,IN,2021-11-08 01:29:00,34.1667,77.5833,17.19,62,0,3.89
5,Ilulissat,GL,2021-11-08 01:24:09,69.2167,-51.1,12.22,52,13,19.57
6,Albany,US,2021-11-08 01:24:13,42.6001,-73.9662,42.8,75,19,3.18
7,Aklavik,CA,2021-11-08 01:24:08,68.2191,-135.0107,14.83,97,78,3.62
8,Sakakah,SA,2021-11-08 01:29:01,29.9697,40.2064,60.37,37,0,3.65
9,Mahebourg,MU,2021-11-08 01:24:10,-20.4081,57.7,75.49,83,40,5.75
10,Hobyo,SO,2021-11-08 01:29:01,5.3505,48.5268,78.75,68,72,9.89
11,Byron Bay,AU,2021-11-08 01:29:02,-28.65,153.6167,76.96,89,100,9.57
12,Katsuura,JP,2021-11-08 01:24:10,35.1333,140.3,68.18,60,100,17.02
13,Gravatai,BR,2021-11-08 01:29:02,-29.9444,-50.9919,64.18,77,0,6.91
14,Lorengau,PG,2021-11-08 01:29:02,-2.0226,147.2712,83.07,78,62,10.76
15,Omboue,GA,2021-11-08 01:29:03,-1.5746,9.2618,76.32,92,100,5.57
16,Hellvik,NO,2021-11-08 01:29:03,59.9156,5.781,46.78,91,99,2.39
17,Rikitea,PF,2021-11-08 01:21:01,-23.1203,-134.9692,74.88,80,100,14.83
18,Lazaro Cardenas,MX,2021-11-08 01:29:03,17.9583,-102.2,78.87,84,35,2.59
19,Provideniya,RU,2021-11-08 01:26:29,64.3833,-173.3,19.51,68,20,4.47
20,Airai,TL,2021-11-08 01:26:32,-8.9266,125.4092,73.9,67,96,1.3
21,Gobabis,NA,2021-11-08 01:29:03,-22.45,18.9667,76.01,22,100,8.72
22,Strathmore,CA,2021-11-08 01:29:04,51.0501,-113.3852,38.8,40,0,5.01
23,Vestmanna,FO,2021-11-08 01:29:04,62.1564,-7.1664,43.72,87,90,14.97
24,Hermanus,ZA,2021-11-08 01:21:05,-34.4187,19.2345,57.9,71,66,5.39
25,Birjand,IR,2021-11-08 01:29:04,32.8663,59.2211,36.07,75,20,4.61
26,Qaanaaq,GL,2021-11-08 01:24:03,77.484,-69.3632,3.42,69,18,7.18
27,Mataura,NZ,2021-11-08 01:24:08,-46.1927,168.8643,73.11,37,100,3.44
28,Port Alfred,ZA,2021-11-08 01:24:08,-33.5906,26.891,64.6,86,100,7.94
29,Foshan,CN,2021-11-08 01:29:05,23.0268,113.1315,64.09,57,63,17.92
30,Atuona,PF,2021-11-08 01:25:18,-9.8,-139.0333,78.39,75,4,17.22
31,Conceicao Do Araguaia,BR,2021-11-08 01:29:05,-8.2578,-49.2647,73.72,88,100,3.02
32,Port Elizabeth,ZA,2021-11-08 01:25:21,-33.918,25.5701,59.09,82,100,4.9
33,Tuatapere,NZ,2021-11-08 01:27:41,-46.1333,167.6833,68.81,47,99,2.39
34,Auki,SB,2021-11-08 01:29:05,-8.7676,160.7034,87.46,59,25,1.66
35,Praia Da Vitoria,PT,2021-11-08 01:24:12,38.7333,-27.0667,69.76,88,75,18.99
36,Resistencia,AR,2021-11-08 01:29:06,-27.4606,-58.9839,73.45,83,40,3.44
37,Punta Arenas,CL,2021-11-08 01:27:42,-53.15,-70.9167,44.71,65,20,6.91
38,Imbituba,BR,2021-11-08 01:29:06,-28.24,-48.6703,68.83,72,70,2.84
39,East London,ZA,2021-11-08 01:25:22,-33.0153,27.9116,64.2,94,100,8.57
40,Hithadhoo,MV,2021-11-08 01:21:28,-0.6,73.0833,81.66,75,93,11.61
41,Neryungri,RU,2021-11-08 01:29:06,56.6709,124.6491,5.85,82,17,5.73
42,Kijang,KR,2021-11-08 01:29:07,35.2442,129.2139,71.33,74,92,23.29
43,Norman Wells,CA,2021-11-08 01:26:58,65.282,-126.8329,12.24,85,90,10.36
44,Aleksandrovka,UA,2021-11-08 01:29:07,46.8383,32.7612,52.54,96,39,9.84
45,Bengkulu,ID,2021-11-08 01:24:10,-3.8004,102.2655,79.57,74,100,5.5
46,Sanmenxia,CN,2021-11-08 01:29:07,34.7747,111.1814,35.8,51,0,7.11
47,Ribeira Grande,PT,2021-11-08 01:29:08,38.5167,-28.7,69.48,86,22,23.87
48,Brigantine,US,2021-11-08 01:30:08,39.4101,-74.3646,48.02,74,100,13.53
